ECC6 ECP Production                                                    Foreign Currency Valuation                                                    Time 08:47:35     Date  02.08.2017
Brisbane                                                                                                                                     FAGL_FC_VALUATION/JGRABKA Page           1
Key Date 31.07.17
Valuation in Company code currency (10)
Method Z001 Rio Tinto Foreign Currency Revaluation
Ledger Group 0L


		Ld	CoCd	AccTy	G/L	Account Nu	DocumentNo	Itm	    Amount in FC	Crcy	  Amount CC.Curr	CC.Curr	Exch. Rat	S	 Exch.rate	Typ	  Old Difference	  New Difference	   Amount Posted
			8800	S	195500		1200007010	  2	     272,823.40	USD	     241,557.84	EUR	  0.85100		 0.88540	ZU	           0.00	-9,385.50	-9,385.50
			8800	S	195500		1200007024	  2	   6,113,247.71	USD	   5,399,220.38	EUR	  0.85100		 0.88320	ZU	           0.00	-196,854.85	-196,854.85
			8800	S	195500		1200007035	  1	-272,823.40	USD	-241,557.84	EUR	  0.85100		 0.88540	ZU	           0.00	       9,385.50	       9,385.50
			8800	S	195500		1200007069	  1	     110,133.31	USD	      96,774.14	EUR	  0.85100		 0.87870	ZU	           0.00	-3,050.84	-3,050.84
			8800	S	195500		1200007175	  2	   2,274,088.75	USD	   1,984,824.66	EUR	  0.85100		 0.87280	ZU	           0.00	-49,578.21	-49,578.21
			8800	S	195500		1200007254	  2	   7,252,175.76	USD	   6,291,987.69	EUR	  0.85100		 0.86760	ZU	           0.00	-120,395.93	-120,395.93
			8800	S	195500		1200007312	  1	-15,862.69	USD	-13,925.86	EUR	  0.85100		 0.87790	ZU	           0.00	         426.73	         426.73
			8800	S	195500		1200007333	  2	     664,809.94	USD	     584,168.49	EUR	  0.85100		 0.87870	ZU	           0.00	-18,416.13	-18,416.13
			8800	S	195500		1200007348	  2	  11,763,436.95	USD	  10,289,478.30	EUR	  0.85100		 0.87470	ZU	           0.00	-278,809.37	-278,809.37
			8800	S	195500		1200007417	  2	     192,479.53	USD	     169,863.19	EUR	  0.85100		 0.88250	ZU	           0.00	-6,063.37	-6,063.37
			8800	S	195500		1200007432	  2	   3,735,836.99	USD	   3,311,819.49	EUR	  0.85100		 0.88650	ZU	           0.00	-132,627.27	-132,627.27
			8800	S	195500		1200007497	  2	      36,750.66	USD	      32,788.94	EUR	  0.85100		 0.89220	ZU	           0.00	-1,514.18	-1,514.18
			8800	S	195500		1200007513	  2	         417.95	USD	         374.57	EUR	  0.85100		 0.89621	ZU	           0.00	-18.90	-18.90
			8800	S	195500		1200007589	  1	     124,637.38	USD	     109,930.17	EUR	  0.85100		 0.88200	ZU	           0.00	-3,863.93	-3,863.93
