ECC6 ECP Production                                                    Foreign Currency Valuation                                                    Time 08:47:35     Date  02.08.2017
Brisbane                                                                                                                                     FAGL_FC_VALUATION/JGRABKA Page           1
Key Date 31.07.17
Valuation in Company code currency (10)
Method Z001 Rio Tinto Foreign Currency Revaluation
Ledger Group 0L


		Ld	CoCd	AccTy	G/L	Account Nu	DocumentNo	Itm	    Amount in FC	Crcy	  Amount CC.Curr	CC.Curr	Exch. Rat	S	 Exch.rate	Typ	  Old Difference	  New Difference	   Amount Posted
			8800	S	195500		1200014664	  2	   1,734,523.87	USD	   1,529,763.33	EUR	  0.85100		 0.88195	ZU	           0.00	-53,685.86	-53,685.86
			8800	S	195500		1200014667	  1	-6,252,267.60	USD	-5,474,798.12	EUR	  0.85100		 0.87565	ZU	           0.00	     154,126.85	     154,126.85
			8800	S	195500		1200014721	  2	     370,159.88	USD	     323,575.26	EUR	  0.85100		 0.87415	ZU	           0.00	-8,569.70	-8,569.70
			8800	S	195500		1200014743	  2	      18,629.97	USD	      16,313.33	EUR	  0.85100		 0.87565	ZU	           0.00	-459.25	-459.25
			8800	S	195500		1200014775	  1	-20,317.61	USD	-17,713.91	EUR	  0.85100		 0.87185	ZU	           0.00	         423.65	         423.65
			8800	S	195500		1200014807	  1	-166,300.00	USD	-143,824.55	EUR	  0.85100		 0.86485	ZU	           0.00	       2,303.48	       2,303.48
			8800	S	195500		1200014875	  2	      17,105.09	USD	      14,697.55	EUR	  0.85100		 0.85925	ZU	           0.00	-141.14	-141.14
			8800	S	195500		1200014898	  1	-833,333.33	USD	-715,125.00	EUR	  0.85100		 0.85815	ZU	           0.00	       5,959.46	       5,959.46
			8800	S	195500		1200014919	  2	   1,663,292.85	USD	   1,430,515.02	EUR	  0.85100		 0.86005	ZU	           0.00	-15,055.06	-15,055.06
			8800	S	195500		1200014922	  1	-17,105.09	USD	-14,665.05	EUR	  0.85100		 0.85735	ZU	           0.00	         108.64	         108.64
			8800	S	195500		1200014958	  1	-17,930.58	USD	-15,258.92	EUR	  0.85100		 0.85100	ZU	           0.00	           0.02	           0.02
			8800	S	195500		1200014973	  1	-100,566.12	USD	-87,990.33	EUR	  0.85100		 0.87495	ZU	           0.00	       2,408.70	       2,408.70
			8800	S	195500		1200004391	  1	     139,557.13	USD	     131,420.95	EUR	  0.85100		 0.94170	ZU	           0.00	-12,658.02	-12,658.02
			8800	S	195500		1200004457	  1	-4,386.60	USD	-4,029.09	EUR	  0.85100		 0.91850	ZU	           0.00	         296.10	         296.10
			8800	S	195500		1200004516	  1	-55,772.99	USD	-50,786.88	EUR	  0.85100		 0.91060	ZU	           0.00	       3,324.14	       3,324.14
			8800	S	195500		1200004548	  1	-1,362.89	USD	-1,245.00	EUR	  0.85100		 0.91350	ZU	           0.00	          85.18	          85.18
			8800	S	195500		1200004598	  1	     160,500.51	USD	     145,590.01	EUR	  0.85100		 0.90710	ZU	           0.00	-9,004.29	-9,004.29
			8800	S	195500		1200004633	  1	-99,638.22	USD	-91,328.39	EUR	  0.85100		 0.91660	ZU	           0.00	       6,536.40	       6,536.40
			8800	S	195500		1200004640	  4	     549,325.40	USD	     502,303.15	EUR	  0.85100		 0.91440	ZU	           0.00	-34,827.98	-34,827.98
			8800	S	195500		1200004699	  1	     254,592.71	USD	     235,676.47	EUR	  0.85100		 0.92570	ZU	           0.00	-19,018.42	-19,018.42
			8800	S	195500		1200004722	  1	-10,729.51	USD	-9,874.37	EUR	  0.85100		 0.92030	ZU	           0.00	         743.57	         743.57
			8800	S	195500		1200004788	  1	-36,369.56	USD	-33,136.31	EUR	  0.85100		 0.91110	ZU	           0.00	       2,185.86	       2,185.86
			8800	S	195500		1200004949	  1	-1,894,360.00	USD	-1,735,423.20	EUR	  0.85100		 0.91610	ZU	           0.00	     123,325.40	     123,325.40
			8800	S	195500		1200005017	  1	          40.90	USD	          37.66	EUR	  0.85100		 0.92078	ZU	           0.00	-2.85	-2.85
			8800	S	195500		1200005069	  1	         534.76	USD	         497.86	EUR	  0.85100		 0.93100	ZU	           0.00	-42.78	-42.78
			8800	S	195500		1200005120	  1	-87,315.35	USD	-79,876.08	EUR	  0.85100		 0.91480	ZU	           0.00	       5,570.84	       5,570.84
			8800	S	195500		1200005157	  1	-63,127.90	USD	-58,267.05	EUR	  0.85100		 0.92300	ZU	           0.00	       4,545.29	       4,545.29
			8800	S	195500		1200005161	  1	-151,902.51	USD	-139,856.64	EUR	  0.85100		 0.92070	ZU	           0.00	      10,587.81	      10,587.81
			8800	S	195500		1200005184	  2	     225,000.00	USD	     205,447.50	EUR	  0.85100		 0.91310	ZU	           0.00	-13,972.80	-13,972.80
			8800	S	195500		1200005214	  1	     228,004.10	USD	     209,923.37	EUR	  0.85100		 0.92070	ZU	           0.00	-15,892.19	-15,892.19
			8800	S	195500		1200005285	  1	-1,626,497.34	USD	-1,491,335.41	EUR	  0.85100		 0.91690	ZU	           0.00	     107,188.37	     107,188.37
			8800	S	195500		1200005334	  1	-2,384.16	USD	-2,200.82	EUR	  0.85100		 0.92310	ZU	           0.00	         171.90	         171.90
			8800	S	195500		1200005363	  1	      77,035.76	USD	      71,373.63	EUR	  0.85100		 0.92650	ZU	           0.00	-5,816.30	-5,816.30
			8800	S	195500		1200005413	  1	     202,106.07	USD	     186,362.01	EUR	  0.85100		 0.92210	ZU	           0.00	-14,370.02	-14,370.02
			8800	S	195500		1200005463	  2	-1,894,360.00	USD	-1,729,740.12	EUR	  0.85100		 0.91310	ZU	           0.00	     117,642.32	     117,642.32
			8800	S	195500		1200005578	  1	-5,268.09	USD	-4,829.78	EUR	  0.85100		 0.91680	ZU	           0.00	         346.64	         346.64
			8800	S	195500		1200005665	  1	-102,485.14	USD	-90,566.12	EUR	  0.85100		 0.88370	ZU	           0.00	       3,351.40	       3,351.40
			8800	S	195500		1200005692	  1	     103,600.82	USD	      92,318.69	EUR	  0.85100		 0.89110	ZU	           0.00	-4,154.53	-4,154.53
			8800	S	195500		1200005780	  1	-137,161.83	USD	-123,116.46	EUR	  0.85100		 0.89760	ZU	           0.00	       6,391.93	       6,391.93
			8800	S	195500		1200005850	  1	-70,685.65	USD	-63,503.99	EUR	  0.85100		 0.89840	ZU	           0.00	       3,350.60	       3,350.60
			8800	S	195500		1200005902	  1	      19,084.98	USD	      17,327.25	EUR	  0.85100		 0.90790	ZU	           0.00	-1,085.96	-1,085.96
			8800	S	195500		1200005913	  1	-62,590.53	USD	-56,788.39	EUR	  0.85100		 0.90730	ZU	           0.00	       3,523.93	       3,523.93
			8800	S	195500		1200005935	  1	     163,449.71	USD	     148,297.92	EUR	  0.85100		 0.90730	ZU	           0.00	-9,202.44	-9,202.44
			8800	S	195500		1200005962	  1	-4,609.64	USD	-4,180.48	EUR	  0.85100		 0.90690	ZU	           0.00	         257.68	         257.68
			8800	S	195500		1200005967	  2	-1,515,488.00	USD	-1,374,396.07	EUR	  0.85100		 0.90690	ZU	           0.00	      84,717.83	      84,717.83
			8800	S	195500		1200005979	  1	-1,582.04	USD	-1,446.78	EUR	  0.85100		 0.91450	ZU	           0.00	         100.47	         100.47
			8800	S	195500		1200006063	  1	          29.11	USD	          26.79	EUR	  0.85100		 0.92030	ZU	           0.00	-2.02	-2.02
			8800	S	195500		1200006084	  1	          20.72	USD	          19.07	EUR	  0.85100		 0.92037	ZU	           0.00	-1.44	-1.44
			8800	S	195500		1200006110	  1	-2,973.79	USD	-2,741.83	EUR	  0.85100		 0.92200	ZU	           0.00	         211.14	         211.14
			8800	S	195500		1200006152	  1	-2,248.74	USD	-2,054.22	EUR	  0.85100		 0.91350	ZU	           0.00	         140.55	         140.55
			8800	S	195500		1200006172	  1	-4,042.82	USD	-3,673.31	EUR	  0.85100		 0.90860	ZU	           0.00	         232.88	         232.88
			8800	S	195500		1200006194	  1	-30,714.82	USD	-27,910.56	EUR	  0.85100		 0.90870	ZU	           0.00	       1,772.29	       1,772.29
			8800	S	195500		1200006232	  1	-1,925,059.00	USD	-1,746,798.54	EUR	  0.85100		 0.90740	ZU	           0.00	     108,575.94	     108,575.94
			8800	S	195500		1200006252	  1	     102,899.94	USD	      93,371.41	EUR	  0.85100		 0.90740	ZU	           0.00	-5,803.70	-5,803.70
			8800	S	195500		1200006282	  1	       9,665.15	USD	       8,661.91	EUR	  0.85100		 0.89620	ZU	           0.00	-436.88	-436.88
			8800	S	195500		1200006301	  1	-677,781.01	USD	-607,698.45	EUR	  0.85100		 0.89660	ZU	           0.00	      30,907.73	      30,907.73
			8800	S	195500		1200006426	  1	-270,239.51	USD	-241,080.67	EUR	  0.85100		 0.89210	ZU	           0.00	      11,107.21	      11,107.21
			8800	S	195500		1200006437	  4	     367,856.82	USD	     329,342.21	EUR	  0.85100		 0.89530	ZU	           0.00	-16,296.55	-16,296.55
			8800	S	195500		1200006472	  1	     716,954.50	USD	     641,889.36	EUR	  0.85100		 0.89530	ZU	           0.00	-31,762.05	-31,762.05
			8800	S	195500		1200006514	  1	     266,104.21	USD	     237,764.11	EUR	  0.85100		 0.89350	ZU	           0.00	-11,309.79	-11,309.79
			8800	S	195500		1200006540	  2	-1,515,488.00	USD	-1,345,450.25	EUR	  0.85100		 0.88780	ZU	           0.00	      55,772.01	      55,772.01
			8800	S	195500		1200006644	  1	          80.30	USD	          70.56	EUR	  0.85100		 0.87870	ZU	           0.00	-2.22	-2.22
			8800	S	195500		1200006646	  1	-2,123.94	USD	-1,866.31	EUR	  0.85100		 0.87870	ZU	           0.00	          58.84	          58.84
			8800	S	195500		1200006676	  1	          21.52	USD	          18.91	EUR	  0.85100		 0.87872	ZU	           0.00	-0.60	-0.60
			8800	S	195500		1200006702	  1	      10,073.73	USD	       8,844.73	EUR	  0.85100		 0.87800	ZU	           0.00	-272.00	-272.00
			8800	S	195500		1200006745	  1	-18,346.68	USD	-16,073.53	EUR	  0.85100		 0.87610	ZU	           0.00	         460.53	         460.53
			8800	S	195500		1200006767	  1	      31,393.89	USD	      27,598.37	EUR	  0.85100		 0.87910	ZU	           0.00	-882.21	-882.21
			8800	S	195500		1200006784	  1	-24,263.55	USD	-21,283.99	EUR	  0.85100		 0.87720	ZU	           0.00	         635.74	         635.74
			8800	S	195500		1200006822	  1	      97,721.32	USD	      85,906.81	EUR	  0.85100		 0.87910	ZU	           0.00	-2,746.10	-2,746.10
			8800	S	195500		1200006931	  4	     140,698.23	USD	     124,222.47	EUR	  0.85100		 0.88290	ZU	           0.00	-4,488.47	-4,488.47
			8800	S	195500		1200007004	  1	-2,396.02	USD	-2,121.44	EUR	  0.85100		 0.88540	ZU	           0.00	          82.43	          82.43
			8800	S	195500		1200007014	  1	-179,898.26	USD	-158,886.14	EUR	  0.85100		 0.88320	ZU	           0.00	       5,792.96	       5,792.96
			8800	S	195500		1200007033	  1	-1,515,488.00	USD	-1,338,479.00	EUR	  0.85100		 0.88320	ZU	           0.00	      48,800.76	      48,800.76
			8800	S	195500		1200007116	  1	-121,191.90	USD	-107,266.95	EUR	  0.85100		 0.88510	ZU	           0.00	       4,132.81	       4,132.81
			8800	S	195500		1200007125	  1	     140,852.74	USD	     125,457.54	EUR	  0.85100		 0.89070	ZU	           0.00	-5,592.05	-5,592.05
			8800	S	195500		1200007179	  1	          30.22	USD	          26.38	EUR	  0.85100		 0.87293	ZU	           0.00	-0.66	-0.66
			8800	S	195500		1200007195	  1	          21.51	USD	          18.77	EUR	  0.85100		 0.87262	ZU	           0.00	-0.47	-0.47
			8800	S	195500		1200007197	  1	           0.01	USD	           0.01	EUR	  0.85100		 1.00000	ZU	           0.00	           0.00	           0.00
			8800	S	195500		1200007314	  1	-103.76	USD	-91.09	EUR	  0.85100		 0.87789	ZU	           0.00	           2.79	           2.79
			8800	S	195500		1200007336	  1	     182,468.73	USD	     160,335.27	EUR	  0.85100		 0.87870	ZU	           0.00	-5,054.63	-5,054.63
			8800	S	195500		1200007427	  4	   4,109,365.05	USD	   3,642,952.12	EUR	  0.85100		 0.88650	ZU	           0.00	-145,888.02	-145,888.02
			8800	S	195500		1200007471	  1	      30,669.60	USD	      27,366.48	EUR	  0.85100		 0.89230	ZU	           0.00	-1,266.69	-1,266.69
			8800	S	195500		1200007500	  1	         907.16	USD	         809.37	EUR	  0.85100		 0.89220	ZU	           0.00	-37.38	-37.38
			8800	S	195500		1200007523	  1	     125,085.73	USD	     112,176.88	EUR	  0.85100		 0.89680	ZU	           0.00	-5,729.09	-5,729.09
			8800	S	195500		1200007546	  1	     720,821.97	USD	     644,991.50	EUR	  0.85100		 0.89480	ZU	           0.00	-31,572.98	-31,572.98
			8800	S	195500		1200007562	  1	-1,460.99	USD	-1,314.31	EUR	  0.85100		 0.89960	ZU	           0.00	          71.01	          71.01
			8800	S	195500		1200007565	  2	-1,515,488.00	USD	-1,356,058.66	EUR	  0.85100		 0.89480	ZU	           0.00	      66,380.42	      66,380.42
			8800	S	195500		1200007646	  1	-105,932.20	USD	-94,936.44	EUR	  0.85100		 0.89620	ZU	           0.00	       4,788.28	       4,788.28
			8800	S	195500		1200007690	  1	          29.20	USD	          26.22	EUR	  0.85100		 0.89795	ZU	           0.00	-1.37	-1.37
			8800	S	195500		1200007692	  1	     449,637.77	USD	     403,684.79	EUR	  0.85100		 0.89780	ZU	           0.00	-21,043.66	-21,043.66
			8800	S	195500		1200007700	  1	          20.91	USD	          18.77	EUR	  0.85100		 0.89766	ZU	           0.00	-0.98	-0.98
			8800	S	195500		1200007705	  1	-0.01	USD	-0.01	EUR	  0.85100		 1.00000	ZU	           0.00	           0.00	           0.00
			8800	S	195500		1200007743	  1	-86,358.05	USD	-77,290.45	EUR	  0.85100		 0.89500	ZU	           0.00	       3,799.87	       3,799.87
			8800	S	195500		1200007745	  1	       3,914.70	USD	       3,503.66	EUR	  0.85100		 0.89500	ZU	           0.00	-172.26	-172.26
			8800	S	195500		1200007822	  1	-15,453.22	USD	-13,557.11	EUR	  0.85100		 0.87730	ZU	           0.00	         406.44	         406.44
			8800	S	195500		1200007865	  1	-61,904.81	USD	-54,686.71	EUR	  0.85100		 0.88340	ZU	           0.00	       2,005.80	       2,005.80
			8800	S	195500		1200007878	  1	      14,603.83	USD	      12,901.02	EUR	  0.85100		 0.88340	ZU	           0.00	-473.18	-473.18
			8800	S	195500		1200007893	  1	      13,108.84	USD	      11,652.45	EUR	  0.85100		 0.88890	ZU	           0.00	-496.84	-496.84
			8800	S	195500		1200007926	  1	-78,974.36	USD	-70,429.33	EUR	  0.85100		 0.89180	ZU	           0.00	       3,222.26	       3,222.26
			8800	S	195500		1200007942	  1	-134,307.00	USD	-119,533.23	EUR	  0.85100		 0.89000	ZU	           0.00	       5,238.15	       5,238.15
			8800	S	195500		1200008056	  1	-17,092.95	USD	-15,399.04	EUR	  0.85100		 0.90090	ZU	           0.00	         852.96	         852.96
			8800	S	195500		1200008091	  1	-3,979.41	USD	-3,600.57	EUR	  0.85100		 0.90480	ZU	           0.00	         214.10	         214.10
			8800	S	195500		1200008098	  1	     106,567.53	USD	      96,422.30	EUR	  0.85100		 0.90480	ZU	           0.00	-5,733.48	-5,733.48
			8800	S	195500		1200008171	  1	-716,020.50	USD	-633,463.34	EUR	  0.85100		 0.88470	ZU	           0.00	      24,130.86	      24,130.86
			8800	S	195500		1200008187	  1	       2,660.13	USD	       2,353.42	EUR	  0.85100		 0.88470	ZU	           0.00	-89.65	-89.65
			8800	S	195500		1200008204	  1	     207,016.84	USD	     182,319.73	EUR	  0.85100		 0.88070	ZU	           0.00	-6,148.68	-6,148.68
			8800	S	195500		1200008229	  1	-1,515,488.00	USD	-1,371,213.54	EUR	  0.85100		 0.90480	ZU	           0.00	      81,535.30	      81,535.30
			8800	S	195500		1200008247	  1	          42.97	USD	          38.81	EUR	  0.85100		 0.90319	ZU	           0.00	-2.24	-2.24
			8800	S	195500		1200008254	  1	          34.62	USD	          31.27	EUR	  0.85100		 0.90324	ZU	           0.00	-1.81	-1.81
			8800	S	195500		1200008297	  1	-13,829.52	USD	-12,416.14	EUR	  0.85100		 0.89780	ZU	           0.00	         647.24	         647.24
			8800	S	195500		1200008348	  1	-97,642.26	USD	-88,053.79	EUR	  0.85100		 0.90180	ZU	           0.00	       4,960.36	       4,960.36
			8800	S	195500		1200008369	  1	      30,677.98	USD	      27,729.83	EUR	  0.85100		 0.90390	ZU	           0.00	-1,622.91	-1,622.91
			8800	S	195500		1200008393	  1	      22,598.14	USD	      20,446.80	EUR	  0.85100		 0.90480	ZU	           0.00	-1,215.81	-1,215.81
			8800	S	195500		1200008441	  1	-2,014,308.58	USD	-1,813,482.01	EUR	  0.85100		 0.90030	ZU	           0.00	      99,308.13	      99,308.13
			8800	S	195500		1200008500	  1	-24,415.39	USD	-22,127.67	EUR	  0.85100		 0.90630	ZU	           0.00	       1,350.21	       1,350.21
			8800	S	195500		1200008538	  1	-32,239.43	USD	-29,292.75	EUR	  0.85100		 0.90860	ZU	           0.00	       1,857.04	       1,857.04
			8800	S	195500		1200008577	  1	     106,548.99	USD	      97,076.78	EUR	  0.85100		 0.91110	ZU	           0.00	-6,403.73	-6,403.73
			8800	S	195500		1200008589	  1	         652.96	USD	         594.26	EUR	  0.85100		 0.91010	ZU	           0.00	-38.59	-38.59
			8800	S	195500		1200008618	  1	-1,291,609.00	USD	-1,175,235.03	EUR	  0.85100		 0.90990	ZU	           0.00	      76,077.52	      76,077.52
			8800	S	195500		1200008692	  1	-23,175.72	USD	-21,055.14	EUR	  0.85100		 0.90850	ZU	           0.00	       1,332.63	       1,332.63
			8800	S	195500		1200008769	  1	          30.21	USD	          27.02	EUR	  0.85100		 0.89441	ZU	           0.00	-1.31	-1.31
			8800	S	195500		1200008771	  1	           0.01	USD	           0.01	EUR	  0.85100		 1.00000	ZU	           0.00	           0.00	           0.00
			8800	S	195500		1200008821	  1	-1,121.57	USD	-999.43	EUR	  0.85100		 0.89110	ZU	           0.00	          44.98	          44.98
			8800	S	195500		1200008830	  1	-48,653.11	USD	-43,544.53	EUR	  0.85100		 0.89500	ZU	           0.00	       2,140.80	       2,140.80
			8800	S	195500		1200008860	  1	     196,903.94	USD	     176,800.05	EUR	  0.85100		 0.89790	ZU	           0.00	-9,235.06	-9,235.06
			8800	S	195500		1200008898	  1	-134,307.00	USD	-120,271.92	EUR	  0.85100		 0.89550	ZU	           0.00	       5,976.84	       5,976.84
			8800	S	195500		1200008986	  1	-313,876.19	USD	-278,596.51	EUR	  0.85100		 0.88760	ZU	           0.00	      11,488.30	      11,488.30
			8800	S	195500		1200008993	  4	      46,926.67	USD	      41,628.65	EUR	  0.85100		 0.88710	ZU	           0.00	-1,694.12	-1,694.12
			8800	S	195500		1200009090	  1	     139,765.32	USD	     124,027.74	EUR	  0.85100		 0.88740	ZU	           0.00	-5,087.64	-5,087.64
			8800	S	195500		1200009103	  1	     117,567.76	USD	     104,247.33	EUR	  0.85100		 0.88670	ZU	           0.00	-4,197.33	-4,197.33
			8800	S	195500		1200009137	  1	-765,942.21	USD	-685,365.09	EUR	  0.85100		 0.89480	ZU	           0.00	      33,549.31	      33,549.31
			8800	S	195500		1200009138	  1	-1,291,609.00	USD	-1,155,731.73	EUR	  0.85100		 0.89480	ZU	           0.00	      56,574.22	      56,574.22
			8800	S	195500		1200009209	  1	-2,316,160.50	USD	-2,055,360.83	EUR	  0.85100		 0.88740	ZU	           0.00	      84,311.38	      84,311.38
			8800	S	195500		1200009321	  1	          32.52	USD	          29.15	EUR	  0.85100		 0.89637	ZU	           0.00	-1.48	-1.48
			8800	S	195500		1200009325	  1	-0.01	USD	-0.01	EUR	  0.85100		 1.00000	ZU	           0.00	           0.00	           0.00
			8800	S	195500		1200009378	  1	-123,181.25	USD	-109,594.36	EUR	  0.85100		 0.88970	ZU	           0.00	       4,767.28	       4,767.28
			8800	S	195500		1200009429	  1	      32,438.93	USD	      28,847.94	EUR	  0.85100		 0.88930	ZU	           0.00	-1,242.45	-1,242.45
			8800	S	195500		1200009449	  1	-5,268.79	USD	-4,692.38	EUR	  0.85100		 0.89060	ZU	           0.00	         208.65	         208.65
			8800	S	195500		1200009490	  1	-2,559.74	USD	-2,274.58	EUR	  0.85100		 0.88860	ZU	           0.00	          96.24	          96.24
			8800	S	195500		1200009569	  1	-46,708.18	USD	-41,855.20	EUR	  0.85100		 0.89610	ZU	           0.00	       2,106.60	       2,106.60
			8800	S	195500		1200009604	  1	     138,694.45	USD	     123,535.15	EUR	  0.85100		 0.89070	ZU	           0.00	-5,506.36	-5,506.36
			8800	S	195500		1200009620	  1	-6,320.38	USD	-5,632.09	EUR	  0.85100		 0.89110	ZU	           0.00	         253.46	         253.46
			8800	S	195500		1200009637	  1	     124,964.62	USD	     111,056.06	EUR	  0.85100		 0.88870	ZU	           0.00	-4,711.34	-4,711.34
			8800	S	195500		1200009653	  1	-1,077.30	USD	-961.06	EUR	  0.85100		 0.89210	ZU	           0.00	          44.28	          44.28
			8800	S	195500		1200009663	  1	-30.10	USD	-26.85	EUR	  0.85100		 0.89203	ZU	           0.00	           1.23	           1.23
			8800	S	195500		1200009723	  1	-11,938.20	USD	-10,700.21	EUR	  0.85100		 0.89630	ZU	           0.00	         540.82	         540.82
			8800	S	195500		1200009768	  1	          31.91	USD	          28.37	EUR	  0.85100		 0.88906	ZU	           0.00	-1.21	-1.21
			8800	S	195500		1200009797	  1	          26.87	USD	          23.89	EUR	  0.85100		 0.88910	ZU	           0.00	-1.02	-1.02
			8800	S	195500		1200009852	  1	-2,583,219.00	USD	-2,305,264.64	EUR	  0.85100		 0.89240	ZU	           0.00	     106,948.77	     106,948.77
			8800	S	195500		1200009902	  1	      96,184.64	USD	      85,854.41	EUR	  0.85100		 0.89260	ZU	           0.00	-4,001.41	-4,001.41
			8800	S	195500		1200009905	  1	           6.94	USD	           6.22	EUR	  0.85100		 0.89625	ZU	           0.00	-0.31	-0.31
			8800	S	195500		1200009907	  1	      30,696.82	USD	      27,399.98	EUR	  0.85100		 0.89260	ZU	           0.00	-1,277.03	-1,277.03
			8800	S	195500		1200009915	  1	-17,680.99	USD	-15,866.92	EUR	  0.85100		 0.89740	ZU	           0.00	         820.42	         820.42
			8800	S	195500		1200009935	  1	-292,645.84	USD	-265,312.72	EUR	  0.85100		 0.90660	ZU	           0.00	      16,271.51	      16,271.51
			8800	S	195500		1200010019	  1	-129,506.39	USD	-117,837.86	EUR	  0.85100		 0.90990	ZU	           0.00	       7,628.10	       7,628.10
			8800	S	195500		1200010036	  4	   4,159,787.57	USD	   3,792,894.31	EUR	  0.85100		 0.91180	ZU	           0.00	-252,920.72	-252,920.72
			8800	S	195500		1200010042	  1	-24,264.48	USD	-22,078.25	EUR	  0.85100		 0.90990	ZU	           0.00	       1,429.21	       1,429.21
			8800	S	195500		1200010085	  1	         166.72	USD	         152.33	EUR	  0.85100		 0.91369	ZU	           0.00	-10.45	-10.45
			8800	S	195500		1200010112	  1	     118,061.85	USD	     108,546.06	EUR	  0.85100		 0.91940	ZU	           0.00	-8,075.59	-8,075.59
			8800	S	195500		1200010234	  1	-11,624.07	USD	-10,359.37	EUR	  0.85100		 0.89120	ZU	           0.00	         467.30	         467.30
			8800	S	195500		1200010353	  1	          25.63	USD	          23.37	EUR	  0.85100		 0.91182	ZU	           0.00	-1.56	-1.56
			8800	S	195500		1200010367	  1	-24,572.92	USD	-22,226.21	EUR	  0.85100		 0.90450	ZU	           0.00	       1,314.69	       1,314.69
			8800	S	195500		1200010367	  2	-24,572.92	USD	-22,226.21	EUR	  0.85100		 0.90450	ZU	           0.00	       1,314.69	       1,314.69
			8800	S	195500		1200010459	  1	-156,108.47	USD	-141,465.50	EUR	  0.85100		 0.90620	ZU	           0.00	       8,617.40	       8,617.40
			8800	S	195500		1200010459	  2	-156,108.47	USD	-141,465.50	EUR	  0.85100		 0.90620	ZU	           0.00	       8,617.40	       8,617.40
			8800	S	195500		1200010479	  1	-1,027.58	USD	-931.19	EUR	  0.85100		 0.90620	ZU	           0.00	          56.72	          56.72
			8800	S	195500		1200010479	  2	-1,027.58	USD	-931.19	EUR	  0.85100		 0.90620	ZU	           0.00	          56.72	          56.72
			8800	S	195500		1200010481	  1	-17,935.84	USD	-16,253.46	EUR	  0.85100		 0.90620	ZU	           0.00	         990.08	         990.08
			8800	S	195500		1200010481	  2	-17,935.84	USD	-16,253.46	EUR	  0.85100		 0.90620	ZU	           0.00	         990.08	         990.08
			8800	S	195500		1200010511	  1	       4,039.02	USD	       3,688.43	EUR	  0.85100		 0.91320	ZU	           0.00	-251.23	-251.23
			8800	S	195500		1200010511	  2	       4,039.02	USD	       3,688.43	EUR	  0.85100		 0.91320	ZU	           0.00	-251.23	-251.23
			8800	S	195500		1200010528	  1	     174,397.54	USD	     160,271.34	EUR	  0.85100		 0.91900	ZU	           0.00	-11,859.27	-11,859.27
			8800	S	195500		1200010528	  2	     174,397.54	USD	     160,271.34	EUR	  0.85100		 0.91900	ZU	           0.00	-11,859.27	-11,859.27
			8800	S	195500		1200010566	  1	-55,903.55	USD	-52,124.47	EUR	  0.85100		 0.93240	ZU	           0.00	       4,550.62	       4,550.62
			8800	S	195500		1200010566	  2	-55,903.55	USD	-52,124.47	EUR	  0.85100		 0.93240	ZU	           0.00	       4,550.62	       4,550.62
			8800	S	195500		1200010666	  1	-60,245.59	USD	-57,064.62	EUR	  0.85100		 0.94720	ZU	           0.00	       5,795.70	       5,795.70
			8800	S	195500		1200010666	  2	-60,245.59	USD	-57,064.62	EUR	  0.85100		 0.94720	ZU	           0.00	       5,795.70	       5,795.70
			8800	S	195500		1200010672	  1	-17,229.50	USD	-16,319.78	EUR	  0.85100		 0.94720	ZU	           0.00	       1,657.50	       1,657.50
			8800	S	195500		1200010672	  2	-17,229.50	USD	-16,319.78	EUR	  0.85100		 0.94720	ZU	           0.00	       1,657.50	       1,657.50
			8800	S	195500		1200010715	  1	     142,390.27	USD	     134,872.06	EUR	  0.85100		 0.94720	ZU	           0.00	-13,698.13	-13,698.13
			8800	S	195500		1200010715	  2	     142,390.27	USD	     134,872.06	EUR	  0.85100		 0.94720	ZU	           0.00	-13,698.13	-13,698.13
			8800	S	195500		1200010731	  1	     167,178.57	USD	     157,833.29	EUR	  0.85100		 0.94410	ZU	           0.00	-15,564.55	-15,564.55
			8800	S	195500		1200010731	  2	     167,178.57	USD	     157,833.29	EUR	  0.85100		 0.94410	ZU	           0.00	-15,564.55	-15,564.55
			8800	S	195500		1200010807	  1	-16,930.12	USD	-15,438.58	EUR	  0.85100		 0.91190	ZU	           0.00	       1,031.07	       1,031.07
			8800	S	195500		1200010829	  1	-24,866,209.30	USD	-23,239,959.21	EUR	  0.85100		 0.93460	ZU	           0.00	   2,078,848.74	   2,078,848.74
			8800	S	195500		1200010829	  2	-24,866,209.30	USD	-23,239,959.21	EUR	  0.85100		 0.93460	ZU	           0.00	   2,078,848.74	   2,078,848.74
			8800	S	195500		1200010848	  1	      24,572.92	USD	      22,226.21	EUR	  0.85100		 0.90450	ZU	           0.00	-1,314.69	-1,314.69
			8800	S	195500		1200010928	  1	     156,108.47	USD	     141,465.50	EUR	  0.85100		 0.90620	ZU	           0.00	-8,617.40	-8,617.40
			8800	S	195500		1200010948	  1	       1,027.58	USD	         931.19	EUR	  0.85100		 0.90620	ZU	           0.00	-56.72	-56.72
			8800	S	195500		1200010950	  1	      17,935.84	USD	      16,253.46	EUR	  0.85100		 0.90620	ZU	           0.00	-990.08	-990.08
			8800	S	195500		1200010980	  1	-4,039.02	USD	-3,688.43	EUR	  0.85100		 0.91320	ZU	           0.00	         251.23	         251.23
			8800	S	195500		1200010997	  1	-174,397.54	USD	-160,271.34	EUR	  0.85100		 0.91900	ZU	           0.00	      11,859.27	      11,859.27
